"","Images","Speedup","Strategy","Workload","Camera","Format","Label"
"338",100,1.34162553654459,"2","bal","inverse","E","bal-E-2"
"339",100,4.45075413291181,"3","bal","inverse","E","bal-E-3"
"340",100,7.61207328681096,"4","bal","inverse","E","bal-E-4"
"341",20,1,"1","imb","inverse","E","imb-E-1"
"342",20,1.07078223119456,"2","imb","inverse","E","imb-E-2"
"343",20,4.40827869244319,"3","imb","inverse","E","imb-E-3"
"344",20,16.7119296240014,"4","imb","inverse","E","imb-E-4"
"345",40,1,"1","imb","inverse","E","imb-E-1"
"346",40,1.08763080145845,"2","imb","inverse","E","imb-E-2"
"347",40,5.32480788720675,"3","imb","inverse","E","imb-E-3"
"348",40,18.9704855874876,"4","imb","inverse","E","imb-E-4"
"349",60,1,"1","imb","inverse","E","imb-E-1"
"350",60,1.06490697242349,"2","imb","inverse","E","imb-E-2"
"351",60,4.99247970609416,"3","imb","inverse","E","imb-E-3"
"352",60,19.3370764856138,"4","imb","inverse","E","imb-E-4"
"353",80,1,"1","imb","inverse","E","imb-E-1"
"354",80,1.06433334086181,"2","imb","inverse","E","imb-E-2"
"355",80,5.20487005097821,"3","imb","inverse","E","imb-E-3"
"356",80,18.0666226491449,"4","imb","inverse","E","imb-E-4"
"357",100,1,"1","imb","inverse","E","imb-E-1"
"358",100,1.05783696202532,"2","imb","inverse","E","imb-E-2"
"359",100,5.41028198761753,"3","imb","inverse","E","imb-E-3"
"360",100,19.630066710514,"4","imb","inverse","E","imb-E-4"
"361",20,1,"1","slc","inverse","E","slc-E-1"
"362",20,1.00822945334844,"2","slc","inverse","E","slc-E-2"
"363",20,3.80530973451327,"3","slc","inverse","E","slc-E-3"
"364",20,16.6235634314525,"4","slc","inverse","E","slc-E-4"
"365",40,1,"1","slc","inverse","E","slc-E-1"
"366",40,0.998141750926699,"2","slc","inverse","E","slc-E-2"
"367",40,5.55365087249482,"3","slc","inverse","E","slc-E-3"
"368",40,20.3563159248778,"4","slc","inverse","E","slc-E-4"
"369",60,1,"1","slc","inverse","E","slc-E-1"
"370",60,0.982068105572544,"2","slc","inverse","E","slc-E-2"
"371",60,4.74687207516905,"3","slc","inverse","E","slc-E-3"
"372",60,22.0337339767311,"4","slc","inverse","E","slc-E-4"
"373",80,1,"1","slc","inverse","E","slc-E-1"
"374",80,0.971061825915236,"2","slc","inverse","E","slc-E-2"
"375",80,4.99814304423464,"3","slc","inverse","E","slc-E-3"
"376",80,21.6590902673857,"4","slc","inverse","E","slc-E-4"
"377",100,1,"1","slc","inverse","E","slc-E-1"
"378",100,0.993810181627949,"2","slc","inverse","E","slc-E-2"
"379",100,5.31681259969235,"3","slc","inverse","E","slc-E-3"
"380",100,22.2185012929341,"4","slc","inverse","E","slc-E-4"
"381",20,1,"1","iso","inverse","E","iso-E-1"
"382",20,0.560989689256756,"2","iso","inverse","E","iso-E-2"
"383",20,3.33343007992148,"3","iso","inverse","E","iso-E-3"
"384",20,13.9246979984128,"4","iso","inverse","E","iso-E-4"
"385",40,1,"1","iso","inverse","E","iso-E-1"
"386",40,1.01067776632437,"2","iso","inverse","E","iso-E-2"
"387",40,3.97846848173348,"3","iso","inverse","E","iso-E-3"
"388",40,14.8912500160209,"4","iso","inverse","E","iso-E-4"
"389",60,1,"1","iso","inverse","E","iso-E-1"
"390",60,1.0190232396226,"2","iso","inverse","E","iso-E-2"
"391",60,4.38092670050342,"3","iso","inverse","E","iso-E-3"
"392",60,13.3987957131809,"4","iso","inverse","E","iso-E-4"
"393",80,1,"1","iso","inverse","E","iso-E-1"
"394",80,1.02412929452176,"2","iso","inverse","E","iso-E-2"
"395",80,4.64994985163575,"3","iso","inverse","E","iso-E-3"
"396",80,14.0599419895934,"4","iso","inverse","E","iso-E-4"
"397",100,1,"1","iso","inverse","E","iso-E-1"
"398",100,1.00399844565419,"2","iso","inverse","E","iso-E-2"
"399",100,4.88592762780011,"3","iso","inverse","E","iso-E-3"
"400",100,13.3336870231217,"4","iso","inverse","E","iso-E-4"
"401",20,1,"1","bal","inverse","S","bal-S-1"
"402",20,1.23155066472741,"2","bal","inverse","S","bal-S-2"
"403",20,1.89200397061134,"3","bal","inverse","S","bal-S-3"
"404",20,6.08970689825323,"4","bal","inverse","S","bal-S-4"
"405",40,1,"1","bal","inverse","S","bal-S-1"
"406",40,1.25821806353317,"2","bal","inverse","S","bal-S-2"
"407",40,2.28254354859892,"3","bal","inverse","S","bal-S-3"
"408",40,5.12194076435681,"4","bal","inverse","S","bal-S-4"
"409",60,1,"1","bal","inverse","S","bal-S-1"
"410",60,1.27825925759891,"2","bal","inverse","S","bal-S-2"
"411",60,2.51366419670725,"3","bal","inverse","S","bal-S-3"
"412",60,4.73519088697588,"4","bal","inverse","S","bal-S-4"
"413",80,1,"1","bal","inverse","S","bal-S-1"
"414",80,1.36990286425903,"2","bal","inverse","S","bal-S-2"
"415",80,2.93394442950843,"3","bal","inverse","S","bal-S-3"
"416",80,4.75032992240778,"4","bal","inverse","S","bal-S-4"
"417",100,1,"1","bal","inverse","S","bal-S-1"
"418",100,1.31952035694367,"2","bal","inverse","S","bal-S-2"
"419",100,2.93255822601237,"3","bal","inverse","S","bal-S-3"
"420",100,4.49081028900543,"4","bal","inverse","S","bal-S-4"
"421",20,1,"1","imb","inverse","S","imb-S-1"
"422",20,1.05342994670201,"2","imb","inverse","S","imb-S-2"
"423",20,1.49956103277758,"3","imb","inverse","S","imb-S-3"
"424",20,5.48132005910712,"4","imb","inverse","S","imb-S-4"
"425",40,1,"1","imb","inverse","S","imb-S-1"
"426",40,1.11966848512843,"2","imb","inverse","S","imb-S-2"
"427",40,1.77223054253829,"3","imb","inverse","S","imb-S-3"
"428",40,6.10156128717482,"4","imb","inverse","S","imb-S-4"
"429",60,1,"1","imb","inverse","S","imb-S-1"
"430",60,1.23440838977892,"2","imb","inverse","S","imb-S-2"
"431",60,2.41940284300038,"3","imb","inverse","S","imb-S-3"
"432",60,6.32170690455661,"4","imb","inverse","S","imb-S-4"
"433",80,1,"1","imb","inverse","S","imb-S-1"
"434",80,1.20202166888819,"2","imb","inverse","S","imb-S-2"
"435",80,2.5876369807571,"3","imb","inverse","S","imb-S-3"
"436",80,6.1308908140996,"4","imb","inverse","S","imb-S-4"
"437",100,1,"1","imb","inverse","S","imb-S-1"
"438",100,1.1704690213016,"2","imb","inverse","S","imb-S-2"
"439",100,2.66264679411545,"3","imb","inverse","S","imb-S-3"
"440",100,5.90674545824368,"4","imb","inverse","S","imb-S-4"
